,score,content
0,0.5209332371985305,音乐
1,0.5064280678607432,音乐 ， 广义 而言 ， 就是指 任何 以 声音 组成 的 艺术 。
2,0.5062478933745745,英文 Music 一 词源 于 古希腊 语 的 μ ο υ σ ι κ ή （ mousike ） ， 意即 缪斯 （ muse ） 女神 的 艺术 。
3,0.5046300857299333,而 中文 的 音乐 二字 ， 许慎 《 说文解字 》 解释 为 “ 音 ， 声 也 。
4,0.4575005147561394,生于 心 ， 有节 于 外 ， 谓之 音 。 ”
5,0.5404060750790112,认为 音乐 和 声音 的 区别 ， 在于 音乐 需要 透过 人心 去 想像 和 创造 。
6,0.5195371678163968,音乐 可 分为 创作 、 演奏 、 聆听 三个 过程 ， 在 不同 文化 和 社会 ， 对于 音乐 的 过程 及其 重要性 都 有 不同 的 理解 ， 例如 在 西非 鼓乐 里 ， 每个 人 皆 是 参与者 ， 人们 不会 区分 作曲者 、 演奏者 和 聆听 者 的 身份 ； 不过 所有 的 人类 文化 都 有 音乐 ， 也就是说 ， 演奏 音乐 是 所有 文化 当中 普遍存在 的 现象 。
7,0.48112250899952447,因为 音乐 和 数学 、 物理 相关 ， 欧洲 自 古希腊 时代 开始 即 有人 论述 乐理 。
8,0.4289195941020912,在 西方 乐理 中 ， 音乐 的 主要 元素 有 音高 （ 频率 ） 、 节奏 和 音色 。
9,0.4688629803286339,音乐 可以 分为 不同 种类 ， 但 每种 种类 的 区别 常常 是 含糊 和 具 争议 的 ， 而 不同 种类 的 音乐会 不同 程度 地 强调 或 忽略 某些 音乐 元素 。
10,0.5049442141403772,至于 何谓 声音 ， 或者 乐音 和 噪音 的 区别 ， 则 没有 公认 的 标准 ， 也 因著 文化 与 社会 背景 而 有所不同 。
11,0.46543815564848723,许多 在 当 时代 具 突破性 或 前卫 的 音乐 被 时 人 批评 为 “ 非 音乐 ” ， 例如 贝多芬 的 大 赋格 以及 早期 的 爵士乐 等等 。
